Name,Type,Cost,Source
Siberys Mark of Detection,Feat,Special,EB
Siberys Mark of Finding,Feat,Special,EB
Siberys Mark of Handling,Feat,Special,EB
Siberys Mark of Healing,Feat,Special,EB
Siberys Mark of Hospitality,Feat,Special,EB
Siberys Mark of Making,Feat,Special,EB
Siberys Mark of Passage,Feat,Special,EB
Siberys Mark of Scribing,Feat,Special,EB
Siberys Mark of Sentinel,Feat,Special,EB
Siberys Mark of Shadow,Feat,Special,EB
Siberys Mark of Storm,Feat,Special,EB
Siberys Mark of Warding,Feat,Special,EB
