Name,Type,Subtype,Cost,Cheap,Expensive,Source
Acid (vial),Adventuring Gear,-,25.00 GP,18.75 GP,37.50 GP,PHB 2024
Alchemist's Fire,Adventuring Gear,-,50.00 GP,37.50 GP,75.00 GP,PHB 2024
Arrows (20),Adventuring Gear,Ammunition,1.00 GP,0.75 GP,1.50 GP,PHB 2024
"Crossbow, Bolts (20)",Adventuring Gear,Ammunition,1.00 GP,0.75 GP,1.50 GP,PHB 2024
"Bullets, Firearm (10)",Adventuring Gear,Ammunition,3.00 GP,2.25 GP,4.50 GP,PHB 2024
"Bullets, Sling (20)",Adventuring Gear,Ammunition,0.04 GP,0.03 GP,0.06 GP,PHB 2024
"Blowgun, Needles (50)",Adventuring Gear,Ammunition,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Antitoxin (vial),Adventuring Gear,-,50.00 GP,37.50 GP,75.00 GP,PHB 2024
Crystal,Adventuring Gear,Arcane Focuses,10.00 GP,7.50 GP,15.00 GP,PHB 2024
Orb,Adventuring Gear,Arcane Focuses,20.00 GP,15.00 GP,30.00 GP,PHB 2024
Rod,Adventuring Gear,Arcane Focuses,10.00 GP,7.50 GP,15.00 GP,PHB 2024
Staff (also a Quarterstaff),Adventuring Gear,Arcane Focuses,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Wand,Adventuring Gear,Arcane Focuses,10.00 GP,7.50 GP,15.00 GP,PHB 2024
Backpack,Adventuring Gear,-,2.00 GP,1.50 GP,3.00 GP,PHB 2024
Ball Bearings,Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Barrel,Adventuring Gear,-,2.00 GP,1.50 GP,3.00 GP,PHB 2024
Basket,Adventuring Gear,-,0.40 GP,0.30 GP,0.60 GP,PHB 2024
Bedroll,Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Bell,Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Blanket,Adventuring Gear,-,0.50 GP,0.38 GP,0.75 GP,PHB 2024
Block and Tackle,Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Book,Adventuring Gear,-,25.00 GP,18.75 GP,37.50 GP,PHB 2024
"Bottle, Glass",Adventuring Gear,-,2.00 GP,1.50 GP,3.00 GP,PHB 2024
Bucket,Adventuring Gear,-,0.05 GP,0.04 GP,0.08 GP,PHB 2024
Burglar's Pack,Adventuring Gear,-,16.00 GP,12.00 GP,24.00 GP,PHB 2024
Caltrops,Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Candle,Adventuring Gear,-,0.01 GP,0.01 GP,0.02 GP,PHB 2024
"Case, Crossbow Bolt",Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
"Case, Map or Scroll",Adventuring Gear,-,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Chain (10 feet),Adventuring Gear,-,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Chest,Adventuring Gear,-,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Climber's Kit,Adventuring Gear,-,25.00 GP,18.75 GP,37.50 GP,PHB 2024
"Clothes, Fine",Adventuring Gear,-,15.00 GP,11.25 GP,22.50 GP,PHB 2024
"Clothes, Traveler's",Adventuring Gear,-,2.00 GP,1.50 GP,3.00 GP,PHB 2024
Component Pouch,Adventuring Gear,-,25.00 GP,18.75 GP,37.50 GP,PHB 2024
Costume,Adventuring Gear,-,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Crowbar,Adventuring Gear,-,2.00 GP,1.50 GP,3.00 GP,PHB 2024
Diplomat's Pack,Adventuring Gear,-,39.00 GP,29.25 GP,58.50 GP,PHB 2024
Sprig of Mistletoe,Adventuring Gear,Drudic Focus,1.00 GP,0.75 GP,1.50 GP,PHB 2024
Wooden Staff (also a Quarterstaff),Adventuring Gear,Drudic Focus,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Yew Wand,Adventuring Gear,Drudic Focus,10.00 GP,7.50 GP,15.00 GP,PHB 2024
Dungeoneer's Pack,Adventuring Gear,-,12.00 GP,9.00 GP,18.00 GP,PHB 2024
Entertainer's Pack,Adventuring Gear,-,40.00 GP,30.00 GP,60.00 GP,PHB 2024
Explorer's Pack,Adventuring Gear,-,10.00 GP,7.50 GP,15.00 GP,PHB 2024
Flask,Adventuring Gear,-,0.02 GP,0.02 GP,0.03 GP,PHB 2024
Grappling Hook,Adventuring Gear,-,2.00 GP,1.50 GP,3.00 GP,PHB 2024
Healer's Kit,Adventuring Gear,-,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Amulet (worn or held),Adventuring Gear,Holy Symbol,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Emblem (borne on fabric or a Shield),Adventuring Gear,Holy Symbol,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Reliquary (held),Adventuring Gear,Holy Symbol,5.00 GP,3.75 GP,7.50 GP,PHB 2024
Holy Water,Adventuring Gear,-,25.00 GP,18.75 GP,37.50 GP,PHB 2024
