Name,Type,Attunement,Price,Source,Damage,Description
Aberrant Nail (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Aberrant Nail is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Ai Hao's Fang (Very Rare),Weapon,Yes-Monk,"B+200,000 GP",GSB,Weapon's normal damage,"Ai Hao's Fang is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Amulet of Radiant Protection (Very Rare),Wondrous Item,"Yes-Cleric, Paladin","200,000 GP",GSB,Radiant,"Amulet of Radiant Protection is a very rare neck-worn magic item that grants a powerful protective, restorative, sensory, or spell-like benefit."
Angelic Plate (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Angelic Plate is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Apparatus of Kwalish (Very Rare),Wondrous Item,-,"200,000 GP",DMG,Bludgeoning,"This Large mechanical vehicle unfolds from a barrel-like form into a lobster-shaped submersible. Creatures inside can use its levers to move, open or close portholes, operate lights, and make claw attacks that can grapple or crush targets."
Armor (Very Rare),Armor,-,Varies,DMG,-,This entry represents a suit of magic armor whose exact armor type determines its base Armor Class and mundane properties; the item's specific enchantment determines any additional magical bonus or effect.
Armor of Invulnerability (Very Rare),Armor,Attunement,"B+200,000 GP",DMG,-,"This magic plate armor grants resistance to nonmagical damage. Once per day, the wearer can use an action to become immune to nonmagical damage for 10 minutes."
Armor of the Lost Angel (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Armor of the Lost Angel is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Armor of the Platinum Lord (Very Rare),Armor,Yes-Cleric or Paladin,"B+200,000 GP",GSB,-,"Armor of the Platinum Lord is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Armor of the Stone Citadel (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Armor of the Stone Citadel is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Asclepian Staff (Very Rare),Staff,"Yes-Bard, Cleric, Druid, Paladin, Ranger","200,000 GP",GSB,-,Asclepian Staff is a very rare magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Astral Aegis (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Astral Aegis is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
