Name,Normal Price,Low Price,High Price
Adamantite,200 gp,100 gp,300 gp
Aerocrystal,400 gp,300 gp,600 gp
Asmoroch Wood,400 gp,300 gp,600 gp
Beast Feathers,CR% N.,CR% L.,CR% H.
Bone,CR% N.,CR% L.,CR% H.
Chitin CR% N.,CR% L.,CR% H.,
Cold Iron,100 gp,60 gp,200 gp
Coral,100 gp,60 gp,200 gp
Creature Hide ,CR% N.,CR% L.,CR% H.
Creature Scales,CR% N.,CR% L.,CR% H.
Darksteel,200 gp,100 gp,300 gp
Darkwood,100 gp,60 gp,300 gp
Dwarvenstone,400 gp,300 gp,600 gp
Eternal Ice,400 gp,300 gp,600 gp
Ignum,400 gp,300 gp,600 gp
Infernal Leather,800 gp,600 gp,1200 gp
Infernal Steel,800 gp,600 gp,1200 gp
Leafweave,100 gp,60 gp,200 gp
Mithril,200 gp,100 gp,300 gp
Obsidian,200 gp,100 gp,300 gp
Orichalum,400 gp,300 gp,600 gp
Plague Wood,200 gp,100 gp,300 gp
Shadowsilk,CR% N.,CR% L.,CR% H.
Shadowfell Linen,800 gp,600 gp,1200 gp
Spiritual Wood,200 gp,100 gp,300 gp
Stellar Iron,800 gp,600 gp,1200 gp
Ansivar,200 gp,100 gp,300 gp
Harmonium,400 gp,300 gp,600 gp
Ironwood,100 gp,60 gp,300 gp
Ansivamonium,800 gp,600 gp,1200 gp
Creature Organs,CR% N.,CR% L.,CR% H.
