name,Type,Attunement,Price,Source,,,,,,,,,,,,,,,,,,,,,
Axe of the Dwarvish Lords,Weapon,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Blackrazor,Weapon,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Book of Exalted Deeds,Wondrous Item,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Book of Vile Darkness,Wondrous Item,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Calimemnon Crystal,Wondrous Item,Attunement,Priceless,FRAiF,,,,,,,,,,,,,,,,,,,,,
Crown Of Horns,Wondrous Item,Attunement,Priceless,FRAiF,,,,,,,,,,,,,,,,,,,,,
Demonomicon of Iggwilv,Wondrous Item,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Eye and Hand of Vecna,Wondrous Item,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
"Ghaal'duur, the Mighty Dirge",Wondrous Item,Attunement,Priceless,EB,,,,,,,,,,,,,,,,,,,,,
Grieving Tree,Eldritch Machine,Attunement,Priceless,EB,,,,,,,,,,,,,,,,,,,,,
Orb of Damara,Wondrous Item,Attunement,Priceless,FRAiF,,,,,,,,,,,,,,,,,,,,,
Orb of Dragonkind,Wondrous Item,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Sword of Kas,Weapon,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Wand of Orcus,Wand,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Wave,Weapon,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Whelm,Weapon,Attunement,Priceless,DMG,,,,,,,,,,,,,,,,,,,,,
Armor of Absence,Armor (plate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Criir's Scepter,Rod,Yes-Spellcaster,,GSB,,,,,,,,,,,,,,,,,,,,,
"Nimbus, First Staff of the Thunderbirds",Staff,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Precipit the Formless,Staff,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Staff of Awakening,Staff,Yes-Spellcaster,,GSB,,,,,,,,,,,,,,,,,,,,,
The Suncatcher,Staff,"Yes-Cleric, Druid, Sorceror, or Wizard",,GSB,,,,,,,,,,,,,,,,,,,,,
"Arista, Wand of the Spire",Wand,Yes-Spellcaster,,GSB,,,,,,,,,,,,,,,,,,,,,
"Hatred, the Wrathful Edge",Weapon (greataxe),Yes-Worthy,,GSB,,,,,,,,,,,,,,,,,,,,,
"Skorr, the Hungering Axe",Weapon (greataxe),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Ionbreaker the Tempests Reach,Weapon (longbow),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Criir's Blade,Weapon (longsword),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
"Silverwind, The Cleansing Breeze",Weapon (longsword),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
"Kheld'ir, the Sixth Shot",Weapon (pistol),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Galea of the Soulfire Phoenix,Wondrous Item,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Tectonic Gauntlets,Wondrous Item,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
