Name,Type,Attunement,Price,Source,,,,,,,,,,,,,,,,,,,,,
Ammunition,Weapon,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Amulet of Health,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Armor,Armor,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Armor of Resistance,Armor,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Armor of Vulnerability,Armor,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Arrow-Catching Shield,Armor,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Bag of Beans,Wondrous Item,-,"2,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Bane Weapon,Weapon,Attunement,"B+4,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Bead of Force,Wondrous Item,-,"2,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Belt of Dwarvenkind,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Belt of Giant Strength,Wondrous Item,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Berserker Axe,Weapon,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Boots of Levitation,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Boots of Speed,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Bowl of Commanding Water Elementals,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Bracers of Defense,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Brazier of Commanding Fire Elementals,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Brooch of the Elements,Wondrous Item,Attunement,"4,000 GP",NF,,,,,,,,,,,,,,,,,,,,,
Cape of the Mountebank,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Censer of Controlling Air Elementals,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Channeling Wand,Wand,Attunement,4000 GP,EB,,,,,,,,,,,,,,,,,,,,,
Chime of Opening,Wondrous Item,-,"2,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Cloak of Displacement,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Cloak of the Bat,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Coat of Manty Eyes,Armor,Attunement,B+4000 GP,EB,,,,,,,,,,,,,,,,,,,,,
Cube of Force,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Cube of Summoning,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Daern's Instant Fortress,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Dagger of Venom,Weapon,-,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Dazzling Weapon,Weapon,Attunement,"B+4,000 GP",EFotA,,,,,,,,,,,,,,,,,,,,,
Dimensional Shackles,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Dragon Slayer,Weapon,-,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Elixir of Health,Potion,-,"2,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Elven Chain,Armor,-,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Armor,Armor,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Staff,Staff,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Weapon,Weapon,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Figurine of Wondrous Power,Wondrous Item,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Flame Tongue,Weapon,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Folding Boat,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Fork of Eddy Summoning,Wondrous Item,-,"4,000 GP",NF,,,,,,,,,,,,,,,,,,,,,
Gem of Seeing,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Giant Slayer,Weapon,-,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Glamoured Studded Leather,Armor,-,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Harper Pin,Wondrous Item,Attunement,Varies,FRAiF,,,,,,,,,,,,,,,,,,,,,
Helm of the Sentinel,Wondrous Item,Attunement,"4,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Helm of Teleportation,Wondrous Item,Attunement,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Heward's Handy Haversack,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Horn of Blasting,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Horn of Valhalla,Wondrous Item,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Horseshoes of Speed,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Houseward,Wondrous Item,-,"4,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Instrument of the Bards,Wondrous Item,Attunement,Varies,FRAiF,,,,,,,,,,,,,,,,,,,,,
Ioun Stone,Wondrous Item,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Iron Bands of Bilarro,Wondrous Item,-,"4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Keeper's Fand,Weapin,,"4,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Mace of Disruption,Weapon,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Mace of Smiting,Weapon,-,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Mace of Terror,Weapon,Attunement,"B+4,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
