Name,Type,Attunement,Price,Source,,,,,,,,,,,,,,,,,,,,,
Apparatus of Kwalish,Wondrous Item,-,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Armor,Armor,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Armor of Invulnerability,Armor,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Belt of Giant Strength,Wondrous Item,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Breastplate of Kamvuul Norek,Armor,Attunement,"200,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Cloak of Invisibility,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Crystal Ball of Mind Reading,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Crystal Ball of Telepathy,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Crystal Ball of True Seeing,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Cubic Gate,Wondrous Item,-,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Deck of Many Things,Wondrous Item,-,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Defender,Weapon,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Efreeti Chain,Armor,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Armor,Armor,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Staff,Staff,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Weapon,Weapon,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Hammer of Thunderbolts,Weapon,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Holy Avenger,Wondrous Item,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Horn of Valhalla,Wondrous Item,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Houseward,Wondrous Item,-,"100,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Instrument of the Bards,Wondrous Item,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Ioun Stone,Wondrous Item,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Iron Flask,Wondrous Item,-,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Luck Blade,Weapon,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Moonblade,Weapon,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Plate Armor of Etherealness,Armor,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Potion of Giant Strength,Potion,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Ring of Djinni Summoning,Ring,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Ring of Elemental Command,Ring,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Ring of Invisibility,Ring,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Ring of Spell Turning,Ring,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Ring of Three Wishes,Ring,-,"100,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Robe of the Archmagi,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Rod of Lordly Might,Rod,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Rod of Resurrection,Rod,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Scarab of Protection,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Scroll of Titan Summoning,Scroll,-,"100,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
"Shaarat'doovol, the Blade of Truth",Weapon,Attunement,"200,000 GP",EB,,,,,,,,,,,,,,,,,,,,,
Sovereign Glue,Wondrous Item,-,"100,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Spell Scroll,Scroll,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Sphere of Annihilation,Wondrous Item,-,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Staff of the Magi,Staff,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Sword of Answering,Weapon,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Talisman of Pure Good,Wondrous Item,Attunement,"100,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Talisman of the Sphere,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Talisman of Ultimate Evil,Wondrous Item,Attunement,"100,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Tome of the Dragon,Wondrous Item,-,"200,000 GP",FRAiF,,,,,,,,,,,,,,,,,,,,,
Tome of the Stilled Tongue,Wondrous Item,Attunement,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Universal Solvent,Wondrous Item,-,"100,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Vorpal Sword,Weapon,Attunement,"B+200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Well of Many Worlds,Wondrous Item,-,"200,000 GP",DMG,,,,,,,,,,,,,,,,,,,,,
Armor of the Platinum Lord,Armor (any metal armor),Yes-Cleric or Paladin,,GSB,,,,,,,,,,,,,,,,,,,,,
Half Plate of the Blind Martyr,Armor (halfplate),Yes-Cleric,,GSB,,,,,,,,,,,,,,,,,,,,,
Mourningsteel Half Plate,Armor (halfplate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Starmetal Nova Armor,Armor (halfplate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Angelic Plate,Armor (plate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Armor of the Lost Angel,Armor (plate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Armor of the Stone Citadel,Armor (plate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Godsteel Warplate,Armor (plate),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Tarrasque Plate,Armor (plate),Yes-Paladin,,GSB,,,,,,,,,,,,,,,,,,,,,
Shadowscale Shroud,Armor (scale mail),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Shadowscale Shroud Armor,Armor (scale mail),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Astral Aegis,Armor (shield),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Blue Dragon Horn Shield,Armor (shield),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Godsteel Barrier,Armor (shield),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Shield of the Unmarked Grave,Armor (shield),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Starmetal Shield,Armor (shield),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Celestial Ambrosia,Potion,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Coldfire Phoenix Draft,Potion,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Rejuvenating Draft,Potion,No,,GSB,,,,,,,,,,,,,,,,,,,,,
